"Team","Inn","rSZ","rCERA","rSB","rGDP","rARM","rGFP","rPM","rTS","DRS","ARM","DPR","RngR","ErrR","UZR","UZR/150","FRM","OAA","RAA","Def"
"Rangers","12819.0","13","0","2","-4","14","11","39","17","86","13.3","-1.5","16.7","4.9","33.4","6.1","16.7","28","25","71.6"
"Cardinals","12753.0","-6","3","3","-7","8","4","60","11","81","3.2","-6.6","21.6","12.8","31.0","4.0","-7.9","51","40","43.1"
"Astros","13005.0","-5","-4","1","-2","1","5","57","16","76","0.5","-1.3","18.2","2.7","20.1","2.8","0.8","41","34","37.4"
"Rays","13101.0","14","2","2","4","0","-5","45","18","72","0.4","2.0","17.7","-5.6","14.4","2.4","5.1","32","29","34.8"
"Royals","12756.0","-7","2","4","3","3","10","-4","11","23","3.6","5.7","7.0","5.8","22.1","3.4","-17.3","23","18","34.3"
"Mets","12414.0","7","-2","6","1","0","2","-1","32","48","3.2","0.1","-5.9","-9.9","-12.6","-1.6","2.2","24","17","29.8"
"Marlins","12735.0","4","1","2","7","16","-13","25","13","55","15.0","4.2","-2.8","-15.6","0.7","3.4","1.7","-11","-8","18.6"
"Cleveland","12672.0","0","1","0","0","-3","-8","8","3","2","-3.1","4.9","-1.1","12.6","13.4","1.2","2.2","18","15","17.8"
"Giants","13095.0","1","-5","-2","-3","-3","3","1","34","32","-0.8","-4.6","4.8","1.4","0.8","-0.5","5.5","27","21","17.4"
"Rockies","12573.0","-1","0","4","-1","5","3","45","5","61","8.0","-0.4","14.0","21.4","43.0","6.2","0.7","2","1","14.1"
"Braves","12696.0","-1","-1","-3","-1","3","0","17","37","50","5.6","0.1","-11.0","0.8","-4.5","0.0","-0.4","6","4","9.4"
"Athletics","12897.0","5","2","3","-2","-10","-5","-10","5","-10","-5.5","-2.7","-3.9","14.1","2.0","-1.0","9.0","20","15","9.1"
"Padres","12870.0","-5","-2","-5","6","-2","7","14","9","16","-5.6","3.9","-16.6","6.0","-12.3","-2.4","-2.7","14","10","1.0"
"Twins","12774.0","10","-1","-4","3","2","10","-1","16","32","-1.6","0.2","4.9","-25.1","-21.7","-4.3","5.9","5","4","-1.2"
"Blue Jays","12648.0","-2","-1","0","-1","8","3","15","4","22","10.4","1.5","7.4","-6.0","13.3","4.0","5.0","-13","-11","-1.8"
"Cubs","12714.0","-5","6","-3","6","-3","1","12","18","29","-5.8","3.5","-3.7","8.5","2.4","-0.4","-4.3","11","7","-2.1"
"Phillies","12768.0","-2","-1","-2","1","5","-2","-50","-4","-54","2.1","4.8","-17.8","3.8","-7.2","-0.2","6.2","-20","-15","-7.1"
"Mariners","12963.0","-1","0","0","6","-6","-5","6","1","-1","-7.7","6.9","-14.3","1.6","-13.5","-2.5","-4.8","-8","-7","-9.6"
"Brewers","12924.0","5","0","2","-4","3","2","23","31","61","3.3","-4.7","30.9","1.5","31.1","4.5","12.5","-18","-11","-12.3"
"Diamondbacks","12756.0","-7","3","-3","-4","-2","-2","-38","17","-37","-0.5","-3.1","0.6","-1.4","-4.4","-1.0","-2.6","-14","-11","-12.8"
"White Sox","12630.0","-7","-2","-4","4","3","-15","-16","12","-40","-0.3","4.0","-5.7","11.3","9.3","1.5","-13.4","-9","-8","-18.2"
"Dodgers","13068.0","15","-1","1","-4","-5","-1","6","34","36","-3.8","-0.8","10.3","-18.4","-12.7","-3.5","4.4","-13","-11","-19.1"
"Red Sox","12771.0","4","1","-3","3","18","4","-45","24","4","13.7","1.1","-10.8","-9.1","-5.1","1.4","0.4","-39","-30","-20.8"
"Pirates","12567.0","5","2","0","4","-11","4","-8","-9","-9","-14.4","0.4","-8.0","12.8","-9.3","-3.5","7.2","-8","-8","-23.2"
"Tigers","12777.0","-13","0","4","-7","-6","-10","-57","47","-35","-11.4","-6.7","-13.9","-3.8","-35.8","-7.3","-13.0","-15","-12","-24.0"
"Orioles","12618.0","-19","6","1","-11","-1","-9","-25","17","-30","0.1","-4.4","-11.0","11.5","-3.9","-0.7","-21.3","-33","-26","-25.7"
"Nationals","12549.0","-10","1","3","-1","3","11","-23","24","12","-3.4","-0.6","-5.4","-13.3","-22.7","-3.8","-6.8","-28","-23","-26.6"
"Yankees","12918.0","2","-3","-2","2","4","-6","-46","17","-41","-4.5","-0.3","-0.8","1.7","-3.8","-1.4","3.0","-23","-19","-32.6"
"Reds","12909.0","5","-3","-1","0","-6","1","-27","7","-32","-3.5","-3.8","-11.0","1.4","-16.9","-3.5","1.4","-37","-31","-36.6"
"Angels","12795.0","3","-1","-4","-3","-15","-1","-39","35","-29","-10.3","-2.5","-10.3","-3.1","-26.2","-5.3","3.9","-25","-21","-39.4"
