"Name","Team","Pos","Inn","rSZ","rCERA","rSB","rGDP","rARM","rGFP","rPM","rTS","DRS","ARM","DPR","RngR","ErrR","UZR","UZR/150","FRM","OAA","RAA","Def","playerid"
"Nicky Lopez","KCR","SS","1233.2","","","","0","","2","1","","3","","2.4","-0.8","3.6","5.2","4.6","","24","18","27.3","19339"
"Francisco Lindor","NYM","SS","1029.1","","","","0","","-1","5","","4","","-0.1","1.2","-1.2","-0.1","-0.3","","20","15","20.8","12916"
"Sean Murphy","OAK","C","923.1","5","0","2","","","-1","","","10","","","","","","","9.7","","","19.7","19352"
"Nick Ahmed","ARI","SS","1028.0","","","","-1","","1","4","","4","","-1.2","-1.3","2.7","0.2","0.4","","19","14","18.4","12147"
"Andrelton Simmons","MIN","SS","1091.2","","","","0","","0","15","","15","","0.5","1.3","-1.9","-0.1","-1.1","","16","12","18.4","10847"
"Brandon Crawford","SFG","SS","1165.2","","","","-1","","0","7","","6","","-0.8","1.0","2.4","2.6","3.4","","15","12","17.2","5343"
"J.T. Realmuto","PHI","C","973.0","1","-3","0","","","3","","","0","","","","","","","8.6","","","16.9","11739"
"Matt Chapman","OAK","3B","1314.2","","","","1","","-1","9","","10","","0.6","1.0","7.1","8.7","8.8","","17","13","16.3","16505"
"Michael A. Taylor","KCR","CF","1186.0","","","","","5","2","12","","19","5.1","","7.9","0.3","13.3","13.9","","15","13","16.3","11489"
"Carlos Correa","HOU","SS","1304.2","","","","-1","","3","18","","20","","-1.0","3.4","0.5","2.9","3.1","","12","9","15.0","14162"
"Martin Maldonado","HOU","C","1010.2","-2","-4","2","","","1","","","-2","","","","","","","1.3","","","12.0","6887"
"Will Smith","LAD","C","1004.2","8","-3","1","","","-1","","","5","","","","","","","1.8","","","11.4","19197"
"Dansby Swanson","ATL","SS","1372.0","","","","1","","3","-11","","-7","","0.1","0.8","0.2","1.1","1.5","","3","3","10.2","18314"
"Elvis Andrus","OAK","SS","1246.1","","","","-1","","-1","-8","","-10","","-1.5","-1.4","2.4","-0.4","-0.5","","6","5","10.2","8709"
"Yadier Molina","STL","C","1001.1","-2","2","3","","","2","","","6","","","","","","","-2.0","","","9.6","7007"
"J.P. Crawford","SEA","SS","1412.1","","","","3","","0","5","","8","","1.8","-0.7","-0.3","0.8","0.2","","0","0","9.5","15491"
"Jose Ramirez","CLE","3B","1141.0","","","","1","","0","9","","10","","1.4","3.9","0.7","5.9","6.7","","7","5","9.4","13510"
"Kyle Farmer","CIN","SS","1008.2","","","","1","","1","0","","2","","-0.2","-4.3","6.2","1.6","2.1","","5","4","9.4","14813"
"Nolan Arenado","STL","3B","1312.0","","","","-1","","0","6","","6","","-1.5","1.7","5.6","5.7","4.9","","10","8","9.2","9777"
