,yearCombine,idPlayer,namePlayer,slugPosition,heightWOShoesInches,weightLBS,wingspanInches,reachStandingInches
0,2001,2124.0,Malik Allen,PF-C,80.25,271.0,86.5,109.0
1,2001,12019.0,Harold Arceneaux,SG-SF,76.5,219.0,80.5,103.0
2,2001,12020.0,Lamont Barnes,PF-C,80.5,235.5,87.5,108.0
3,2001,12131.0,Mario Bland,PF,77.5,287.0,84.0,103.0
4,2001,2056.0,Primoz Brezec,C,84.75,243.0,86.0,110.0
5,2001,2081.0,Ernest Brown,C,82.0,222.5,85.25,109.5
6,2001,2049.0,Speedy Claxton,PG,70.5,166.0,72.0,94.5
7,2001,12132.0,Eric Coley,SG-SF,76.0,205.0,83.0,102.0
8,2001,12133.0,Ed Cota,PG,72.25,189.0,76.0,96.5
9,2001,12134.0,Schea Cotton,SF,76.25,219.5,79.0,100.0
10,2001,2037.0,Jamal Crawford,PG-SG,76.5,175.0,82.0,102.5
11,2001,12017.0,Caswell Cyrus,PF,79.75,220.5,86.0,107.5
12,2001,2064.0,Khalid El-Amin,PG,69.0,200.0,73.5,93.0
13,2001,12018.0,Vassil Evtimov,PF,81.75,262.0,82.5,106.5
14,2001,2238.0,Antonis Fotsis,SF,81.25,219.0,80.5,106.0
15,2001,2109.0,Eddie Gill,PG,71.75,176.0,76.0,93.0
16,2001,12135.0,Ceedric Goodwyn,SF-PF,78.0,238.0,82.0,104.5
17,2001,12136.0,Marcus Goree,SF-PF,79.5,239.0,84.5,105.5
18,2001,12137.0,A.J. Granger,SF,79.5,227.0,81.5,103.0
19,2001,2062.0,A.J. Guyton,PG-SG,72.75,175.0,75.75,97.5
20,2001,2110.0,Ron Hale,SG-SF,79.5,202.0,83.0,104.5
21,2001,2078.0,Jason Hart,PG,73.75,181.0,78.0,97.5
22,2001,2051.0,Donnell Harvey,PF,79.25,220.0,84.5,105.5
23,2001,12138.0,Johnny Hemsley,SG-SF,74.75,200.0,80.0,100.5
24,2001,12139.0,Michael Hermon,SG-PG,74.75,195.0,78.25,98.5
25,2001,2083.0,Cory Hightower,SG-SF,77.5,183.0,83.0,101.5
26,2001,12140.0,Shaheen Holloway,PG,69.5,174.0,70.0,91.0
27,2001,2067.0,Eddie House,SG-PG,71.75,176.5,75.5,95.0
28,2001,2111.0,Jimmie Hunter,SG-PG,75.0,170.0,80.0,100.0
29,2001,12141.0,Jacob Jaacks,PF,81.25,238.0,83.0,105.5
30,2001,2060.0,Marko Jaric,SG-SF,78.5,210.0,81.0,104.0
31,2001,12142.0,Nate Johnson,SF,78.5,211.5,80.5,104.0
32,2001,12143.0,Kenyon Jones,PF-C,81.0,282.0,85.0,108.0
33,2001,2077.0,Mark Karcher,SG,76.0,218.0,80.0,102.5
34,2001,12144.0,Brandon Kurtz,PF-C,81.5,257.0,83.25,106.5
35,2001,2061.0,Dan Langhi,SF,81.0,197.5,80.0,104.0
36,2001,2090.0,Justin Love,PG-SG,73.5,205.5,76.5,97.5
37,2001,2058.0,Mark Madsen,PF,80.0,236.5,84.5,104.5
38,2001,2082.0,Dan McClintock,C-PF,83.0,250.0,85.5,107.0
39,2001,2087.0,Pete Mickeal,SG-SF,77.0,222.0,81.5,103.5
40,2001,12145.0,Brian Montonati,PF,80.75,215.0,82.5,106.0
41,2001,2508.0,Gabe Muoneke,PF-SF,78.25,244.0,84.5,105.0
42,2001,12146.0,Ndongo N'diaye,C,83.5,208.0,87.5,112.5
43,2001,2059.0,Eduardo Najera,PF-SF,78.5,234.5,83.5,104.5
44,2001,12147.0,Matthew Nielsen,PF,81.0,223.0,82.5,106.0
45,2001,2084.0,Chris Porter,SF-PF,77.5,214.0,81.5,103.5
46,2001,2068.0,Lavor Postell,SG,76.5,205.0,80.5,101.5
47,2001,2080.0,Igor Rakocevic,PG,74.5,184.0,77.25,100.0
48,2001,12148.0,Reed Rawlings,SG-SF,78.25,218.0,81.25,104.0
49,2001,2072.0,Michael Redd,SG-SF,76.75,214.0,81.0,102.0
50,2001,12149.0,Damon Reed,PF-C,80.5,228.0,81.5,104.5
51,2001,12021.0,Aubrey Reese,PG,70.75,189.0,77.5,94.5
52,2001,2121.0,Terrance Roberson,SF,77.5,209.0,80.0,103.5
53,2001,12022.0,Julius Doc Robinson,PG,72.0,184.0,75.75,95.5
54,2001,12023.0,Pepe Sanchez,PG,75.0,194.0,75.5,96.0
55,2001,12024.0,Matt Santangelo,PG,72.0,177.0,75.0,94.0
56,2001,2637.0,Alex Scales,SG-PG,74.25,184.5,81.0,97.5
57,2001,12025.0,Karim Shabazz,C,83.5,224.0,87.0,111.5
58,2001,12026.0,Nick Sheppard,PF-C,81.5,273.0,83.0,107.5
59,2001,2065.0,Mike Smith,SF,78.5,198.0,80.5,103.0
60,2001,2074.0,Jabari Smith,PF-C,81.75,240.5,86.5,109.5
61,2001,12027.0,Jarrett Stephens,PF,77.25,258.0,81.25,103.0
62,2001,12028.0,Bootsy Thornton,SG,75.5,194.5,78.5,101.5
63,2001,12029.0,Jaquay Walls,PG,73.25,165.5,74.5,96.5
64,2001,12030.0,Jameel Watkins,PF-C,81.5,244.5,90.0,110.0
65,2002,12033.0,Adam Allenspach,C,83.5,259.0,84.5,107.0
66,2002,2240.0,Gilbert Arenas,SG,74.25,199.0,81.5,99.5
67,2002,2220.0,Brandon Armstrong,SG,75.5,188.0,81.5,99.5
68,2002,2203.0,Shane Battier,SF-PF,80.25,229.0,82.5,105.0
69,2002,12034.0,Cookie Belcher,SG-PG,75.0,206.0,80.5,99.0
70,2002,2294.0,Charlie Bell,PG,74.5,200.0,79.5,97.5
71,2002,2257.0,Ruben Boumtje-Boumtje,C,83.5,245.0,88.0,111.0
72,2002,12035.0,Calvin Bowman,PF,80.75,214.0,83.5,104.0
73,2002,2214.0,Michael Bradley,PF,81.5,227.0,85.5,107.0
74,2002,2249.0,Jamison Brewer,PG,74.5,178.0,80.75,102.5
75,2002,2198.0,Kwame Brown,PF-C,82.0,243.0,85.0,108.0
76,2002,2245.0,Damone Brown,SF,80.25,202.0,83.75,104.5
77,2002,12031.0,SirValiant Brown,PG,71.0,176.0,76.0,92.5
78,2002,12032.0,Ryan Carroll,SF-SG,76.0,202.0,80.25,99.0
79,2002,2199.0,Tyson Chandler,SF-PF,83.5,224.0,87.0,110.0
80,2002,2251.0,Eric Chenowith,C,85.0,264.0,88.0,111.0
81,2002,2439.0,Sam Clancy,PF,78.25,242.0,86.75,107.0
82,2002,12036.0,Gyasi Cline-Heard,PF,78.25,231.0,83.5,103.0
83,2002,2260.0,Jarron Collins,C-PF,81.25,252.0,87.0,104.0
84,2002,2215.0,Jason Collins,PF-C,82.25,251.0,88.5,110.0
85,2002,2241.0,Omar Cook,PG,71.5,189.0,77.5,92.0
86,2002,2201.0,Eddy Curry,C,82.5,301.0,90.5,111.0
87,2002,12037.0,Tate Decker,SF,81.25,218.0,83.75,107.0
88,2002,2205.0,DeSagana Diop,C,82.0,314.0,90.5,113.0
89,2002,12038.0,Robb Dryden,C,85.0,241.0,86.5,110.2
90,2002,2230.0,Maurice Evans,SG,76.25,221.0,80.0,101.0
91,2002,12039.0,Anthony Evans,PF,78.0,267.0,83.5,101.5
92,2002,12150.0,Benjamin Eze,C-PF,80.75,232.0,90.0,109.0
93,2002,2386.0,Kimani Ffriend,C-PF,81.5,228.0,82.75,108.5
94,2002,2228.0,Alton Ford,PF,80.25,271.0,82.5,102.5
95,2002,2218.0,Joseph Forte,SG,75.5,193.0,78.5,100.5
96,2002,-1.0,Jason Gardner,PG,69.75,188.0,73.25,92.5
97,2002,12151.0,Jerry Green,PG-SG,73.5,179.0,78.25,99.0
98,2002,12152.0,Kenny Gregory,SF,75.5,200.0,83.25,101.0
99,2002,2204.0,Eddie Griffin,PF-SF,81.25,222.0,87.0,110.0
100,2002,2239.0,Trenton Hassell,SG-SF,76.25,205.0,80.0,99.5
101,2002,2213.0,Kirk Haston,PF-SF,80.0,242.0,84.25,106.0
102,2002,12153.0,Charles Hathaway,C,80.0,274.0,86.0,107.5
103,2002,2217.0,Brendan Haywood,C,83.75,266.0,90.5,113.5
104,2002,12154.0,Michael Hicks,SG,76.0,197.0,81.25,100.5
105,2002,2212.0,Steven Hunter,C-PF,82.25,224.0,88.0,108.0
106,2002,12155.0,Andre Hutson,PF,80.25,244.0,83.75,105.5
107,2002,12156.0,Nate James,SF,76.75,196.0,82.75,103.0
108,2002,2210.0,Richard Jefferson,SF,79.25,223.0,84.0,103.0
109,2002,2798.0,Horace Jenkins,PG,71.75,171.0,77.25,97.0
110,2002,12157.0,Darrell Johns,C,83.25,278.0,89.0,111.5
111,2002,2256.0,Ken Johnson,C,82.75,227.0,88.0,109.5
112,2002,2207.0,Joe Johnson,SF-SG,78.75,226.0,81.0,105.0
113,2002,12158.0,Darren Kelly,SG-PG,74.0,178.0,78.75,100.0
114,2002,2253.0,Sean Lampley,SF,77.5,213.0,81.25,101.0
115,2002,12159.0,Zach Marbury,PG-SG,73.25,183.0,75.5,96.5
