,PLAYER_NAME,BIRTHDATE,AGE,SCHOOL,COUNTRY,HEIGHT,WEIGHT,SEASON_EXP,TEAM_ID,FIRST_SEASON,LAST_SEASON,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER
0,Alaa Abdelnaby,1968-06-24,53,Duke,USA,82.0,240.0,4,1610612757,1990,1994,1990,1,25
1,Zaid Abdul-Aziz,1946-04-07,76,Iowa State,USA,81.0,235.0,9,1610612745,1968,1977,1968,1,5
2,Kareem Abdul-Jabbar,1947-04-16,75,UCLA,USA,86.0,225.0,19,1610612747,1969,1988,1969,1,1
3,Mahmoud Abdul-Rauf,1969-03-09,53,Louisiana State,USA,73.0,162.0,8,1610612743,1990,2000,1990,1,3
4,Tariq Abdul-Wahad,1974-11-03,47,San Jose State,France,78.0,235.0,6,1610612758,1997,2003,1997,1,11
5,Shareef Abdur-Rahim,1976-12-11,45,California,USA,81.0,245.0,12,1610612763,1996,2007,1996,1,3
6,Tom Abernethy,1954-05-06,68,Indiana,USA,79.0,220.0,4,1610612744,1976,1980,1976,3,43
8,John Abramovic,1919-02-09,103,Salem,USA,75.0,195.0,1,1610610031,1946,1947,0,0,0
9,Alex Abrines,1993-08-01,28,FC Barcelona,Spain,78.0,200.0,2,0,2016,2018,2013,2,32
10,Alex Acker,1983-01-21,39,Pepperdine,USA,77.0,185.0,2,1610612746,2005,2008,2005,2,60
12,Mark Acres,1962-11-15,59,Oral Roberts,USA,83.0,220.0,5,1610612753,1987,1992,1985,2,40
13,Charles Acton,1942-01-11,80,Hillsdale,USA,78.0,210.0,0,1610612745,1967,1967,0,0,0
14,Quincy Acy,1990-10-06,31,Baylor,USA,79.0,240.0,6,0,2012,2018,2012,2,37
15,Alvan Adams,1954-07-19,67,Oklahoma,USA,81.0,210.0,12,1610612756,1975,1987,1975,1,4
16,Don Adams,1947-11-27,74,Northwestern,USA,79.0,210.0,6,1610612765,1970,1976,1970,8,120
17,Hassan Adams,1984-06-20,37,Arizona,USA,76.0,220.0,1,0,2006,2008,2006,2,54
18,Jaylen Adams,1996-05-04,26,St. Bonaventure,USA,72.0,225.0,2,0,2018,2020,0,0,0
19,Jordan Adams,1994-07-08,27,UCLA,USA,77.0,209.0,2,1610612763,2014,2015,2014,1,22
20,Michael Adams,1963-01-19,59,Boston College,USA,70.0,165.0,10,1610612743,1985,1995,1985,3,66
21,Steven Adams,1993-07-20,28,Pittsburgh,New Zealand,83.0,265.0,7,1610612740,2013,2020,2013,1,12
22,Rafael Addison,1964-07-22,57,Syracuse,USA,80.0,241.0,5,1610612751,1986,1996,1986,2,39
23,Bam Adebayo,1997-07-18,24,Kentucky,USA,81.0,255.0,3,1610612748,2017,2020,2017,1,14
24,Deng Adel,1997-02-01,25,Louisville,South Sudan,79.0,200.0,1,1610612739,2018,2018,0,0,0
25,Rick Adelman,1946-06-16,75,Loyola-Marymount,USA,74.0,175.0,6,1610612757,1968,1974,1968,7,79
26,Jeff Adrien,1986-02-10,36,Connecticut,USA,78.07063365886896,211.14685155717208,5,0,2010,2014,0,0,0
27,Arron Afflalo,1985-10-15,36,UCLA,USA,77.0,210.0,11,1610612753,2007,2017,2007,1,27
