GAME_DATE,HOME_TEAM_ID,HOME_TEAM_NAME,_2pointer_PCT_HOME,_3pointer_PCT_HOME,FreeThrow_PCT_HOME,Assists_HOME,Rebounds_HOME,VISITOR_TEAM_ID,VISITOR_TEAM_NAME,_2pointer_PCT_AWAY,_3pointer_PCT_AWAY,FreeThrow_PCT_AWAY,Assists_AWAY,Rebounds_AWAY,HOME_TEAM_WINS
2004-04-14,1610612746,Clippers,0.423,0.214,0.727,17.0,37.0,1610612760,Thunder,0.542,0.375,1.0,32.0,34.0,0
2004-04-14,1610612759,Spurs,0.424,0.1,0.679,15.0,58.0,1610612743,Nuggets,0.325,0.222,0.611,11.0,47.0,1
2004-04-14,1610612754,Pacers,0.42,0.316,0.794,24.0,58.0,1610612741,Bulls,0.42,0.357,0.667,20.0,41.0,1
2004-04-14,1610612764,Wizards,0.375,0.211,0.714,13.0,39.0,1610612740,Pelicans,0.451,0.364,0.6,24.0,48.0,0
2004-04-14,1610612752,Knicks,0.481,0.4,0.714,13.0,42.0,1610612739,Cavaliers,0.488,0.364,0.9,22.0,40.0,0
2004-04-14,1610612748,Heat,0.5,0.333,0.75,23.0,38.0,1610612751,Nets,0.361,0.294,0.704,19.0,42.0,1
2004-04-14,1610612745,Rockets,0.456,0.429,0.533,24.0,50.0,1610612742,Mavericks,0.408,0.389,0.676,22.0,40.0,0
2004-04-14,1610612738,Celtics,0.517,0.417,0.854,26.0,42.0,1610612737,Hawks,0.527,0.429,0.8,32.0,40.0,1
2004-04-14,1610612744,Warriors,0.433,0.4,0.647,23.0,57.0,1610612758,Kings,0.396,0.421,0.917,23.0,46.0,1
2004-04-14,1610612757,Trail Blazers,0.484,0.364,0.667,28.0,55.0,1610612747,Lakers,0.398,0.292,0.593,27.0,51.0,0
2004-04-14,1610612749,Bucks,0.384,0.182,0.731,23.0,48.0,1610612761,Raptors,0.459,0.556,1.0,18.0,41.0,0
2004-04-14,1610612762,Jazz,0.4,0.267,0.593,20.0,43.0,1610612756,Suns,0.479,0.438,0.609,18.0,39.0,0
2004-04-14,1610612753,Magic,0.449,0.273,0.815,16.0,45.0,1610612755,76ers,0.481,0.143,0.524,23.0,32.0,1
2004-04-14,1610612763,Grizzlies,0.41,0.222,0.828,20.0,28.0,1610612750,Timberwolves,0.542,0.583,0.846,23.0,42.0,0
2004-04-13,1610612747,Lakers,0.532,0.214,0.815,22.0,37.0,1610612744,Warriors,0.494,0.32,0.783,18.0,37.0,1
2004-04-13,1610612756,Suns,0.429,0.533,0.625,17.0,42.0,1610612746,Clippers,0.494,0.25,0.667,22.0,53.0,0
2004-04-13,1610612742,Mavericks,0.524,0.294,0.864,21.0,37.0,1610612763,Grizzlies,0.446,0.35,0.786,24.0,43.0,1
2004-04-13,1610612761,Raptors,0.443,0.368,0.857,17.0,42.0,1610612765,Pistons,0.387,0.125,0.76,19.0,39.0,1
2004-04-12,1610612750,Timberwolves,0.484,0.364,0.816,15.0,42.0,1610612762,Jazz,0.377,0.222,0.875,22.0,35.0,1
2004-04-12,1610612737,Hawks,0.588,0.68,0.857,30.0,35.0,1610612751,Nets,0.494,0.429,0.704,26.0,38.0,1
2004-04-12,1610612765,Pistons,0.52,0.533,0.938,29.0,42.0,1610612764,Wizards,0.377,0.3,0.789,21.0,28.0,1
2004-04-12,1610612739,Cavaliers,0.463,0.111,0.818,30.0,39.0,1610612749,Bucks,0.388,0.375,0.833,23.0,47.0,1
2004-04-12,1610612738,Celtics,0.4,0.2,0.818,13.0,39.0,1610612748,Heat,0.378,0.32,0.737,17.0,44.0,0
2004-04-12,1610612741,Bulls,0.358,0.364,0.692,20.0,49.0,1610612753,Magic,0.407,0.143,0.667,18.0,52.0,0
2004-04-12,1610612757,Trail Blazers,0.308,0.214,0.789,14.0,37.0,1610612759,Spurs,0.458,0.4,0.786,20.0,40.0,0
2004-04-12,1610612743,Nuggets,0.436,0.231,0.857,25.0,49.0,1610612758,Kings,0.4,0.077,0.952,28.0,39.0,1
2004-04-12,1610612740,Pelicans,0.443,0.3,0.8,26.0,37.0,1610612752,Knicks,0.434,0.5,0.733,26.0,45.0,0
2004-04-12,1610612760,Thunder,0.487,0.421,0.758,25.0,35.0,1610612745,Rockets,0.484,0.519,0.787,18.0,33.0,0
2004-04-12,1610612755,76ers,0.525,0.2,0.875,25.0,26.0,1610612754,Pacers,0.6,0.455,0.75,28.0,33.0,0
2004-04-11,1610612746,Clippers,0.356,0.0,0.833,19.0,47.0,1610612759,Spurs,0.5,0.25,0.633,19.0,37.0,0
2004-04-11,1610612756,Suns,0.435,0.375,0.839,11.0,43.0,1610612763,Grizzlies,0.352,0.263,0.727,16.0,44.0,1
2004-04-11,1610612744,Warriors,0.452,0.385,0.864,22.0,44.0,1610612742,Mavericks,0.449,0.333,0.923,25.0,45.0,1
2004-04-11,1610612758,Kings,0.42,0.471,0.867,26.0,47.0,1610612747,Lakers,0.381,0.32,0.619,21.0,47.0,1
2004-04-11,1610612761,Raptors,0.441,0.111,0.828,17.0,44.0,1610612741,Bulls,0.44,0.348,0.684,22.0,52.0,0
2004-04-11,1610612751,Nets,0.434,0.538,0.727,26.0,41.0,1610612755,76ers,0.433,0.364,0.65,20.0,36.0,1
2004-04-10,1610612764,Wizards,0.434,0.348,0.643,20.0,47.0,1610612752,Knicks,0.43,0.231,0.893,21.0,44.0,0
2004-04-10,1610612737,Hawks,0.494,0.364,0.952,23.0,42.0,1610612738,Celtics,0.486,0.391,0.6,20.0,34.0,1
2004-04-10,1610612739,Cavaliers,0.442,0.455,0.625,29.0,51.0,1610612748,Heat,0.329,0.286,0.706,13.0,44.0,1
2004-04-10,1610612743,Nuggets,0.457,0.231,0.875,27.0,44.0,1610612757,Trail Blazers,0.487,0.467,0.654,15.0,40.0,1
2004-04-10,1610612749,Bucks,0.388,0.188,0.957,19.0,39.0,1610612740,Pelicans,0.458,0.273,0.719,19.0,44.0,0
2004-04-10,1610612762,Jazz,0.415,0.333,0.806,15.0,41.0,1610612745,Rockets,0.379,0.231,0.889,12.0,28.0,1
2004-04-10,1610612760,Thunder,0.586,0.52,0.667,32.0,38.0,1610612742,Mavericks,0.43,0.438,0.857,24.0,43.0,1
2004-04-10,1610612753,Magic,0.5,0.3,0.615,18.0,36.0,1610612765,Pistons,0.489,0.375,0.6,34.0,34.0,0
