,TEAM_NAME,SEASON,TEAM_ID,PTS_home,_2pointer_PCT_HOME,_3pointer_PCT_HOME,FreeThrow_PCT_HOME,Assists_HOME,Rebounds_HOME,HOME_TEAM_WINS,PTS_away,_2pointer_PCT_AWAY,_3pointer_PCT_AWAY,FreeThrow_PCT_AWAY,Assists_AWAY,Rebounds_AWAY,AWAY_TEAM_WINS
0,76ers,2003,1610612755,3626.0,0.438,0.315,0.747,839.0,1733.0,21,3589.0,0.422,0.356,0.757,801.0,1616.0,12
1,76ers,2004,1610612755,4147.0,0.445,0.344,0.797,883.0,1744.0,25,3981.0,0.43,0.359,0.779,827.0,1701.0,18
2,76ers,2005,1610612755,4171.0,0.465,0.36,0.762,855.0,1713.0,23,3976.0,0.455,0.361,0.75,798.0,1585.0,15
3,76ers,2006,1610612755,3877.0,0.454,0.351,0.779,866.0,1702.0,21,3908.0,0.463,0.348,0.756,803.0,1550.0,14
4,76ers,2007,1610612755,3974.0,0.466,0.3,0.699,879.0,1739.0,22,3949.0,0.455,0.346,0.704,794.0,1698.0,18
5,76ers,2008,1610612755,4005.0,0.46,0.325,0.752,866.0,1713.0,24,3982.0,0.461,0.302,0.735,781.0,1662.0,17
6,76ers,2009,1610612755,3959.0,0.463,0.315,0.744,891.0,1651.0,12,4055.0,0.461,0.367,0.756,832.0,1711.0,15
7,76ers,2010,1610612755,4121.0,0.469,0.371,0.787,965.0,1696.0,26,3998.0,0.456,0.333,0.759,896.0,1732.0,15
8,76ers,2012,1610612755,3881.0,0.454,0.362,0.7,1006.0,1691.0,23,3759.0,0.435,0.355,0.748,861.0,1698.0,11
9,76ers,2013,1610612755,4113.0,0.443,0.321,0.7,954.0,1760.0,10,4042.0,0.431,0.304,0.715,837.0,1745.0,9
10,76ers,2014,1610612755,3905.0,0.421,0.318,0.704,936.0,1783.0,12,3637.0,0.397,0.312,0.652,747.0,1731.0,6
11,76ers,2015,1610612755,4021.0,0.435,0.341,0.675,918.0,1697.0,7,3967.0,0.43,0.334,0.721,847.0,1685.0,3
12,76ers,2016,1610612755,4198.0,0.443,0.346,0.77,1017.0,1776.0,17,4202.0,0.443,0.334,0.761,932.0,1737.0,11
13,76ers,2017,1610612755,4706.0,0.477,0.364,0.764,1187.0,2057.0,31,4428.0,0.468,0.376,0.754,1068.0,1882.0,22
14,76ers,2018,1610612755,4848.0,0.484,0.382,0.79,1143.0,1951.0,31,4597.0,0.46,0.336,0.752,1064.0,1966.0,20
15,Bucks,2003,1610612749,4146.0,0.46,0.385,0.76,1007.0,1753.0,27,3893.0,0.437,0.315,0.789,865.0,1709.0,14
16,Bucks,2004,1610612749,4079.0,0.459,0.353,0.796,903.0,1710.0,23,3894.0,0.444,0.344,0.741,817.0,1680.0,7
17,Bucks,2005,1610612749,4083.0,0.464,0.387,0.721,968.0,1696.0,25,3937.0,0.445,0.377,0.742,801.0,1681.0,15
18,Bucks,2006,1610612749,4153.0,0.479,0.367,0.739,958.0,1601.0,18,4019.0,0.451,0.333,0.741,813.0,1612.0,10
19,Bucks,2007,1610612749,4105.0,0.46,0.375,0.734,963.0,1714.0,19,3851.0,0.439,0.316,0.733,797.0,1704.0,7
20,Bucks,2008,1610612749,4212.0,0.455,0.36,0.781,992.0,1701.0,22,3930.0,0.436,0.347,0.783,810.0,1639.0,12
21,Bucks,2009,1610612749,4096.0,0.439,0.374,0.763,876.0,1770.0,28,3913.0,0.434,0.34,0.733,864.0,1755.0,18
22,Bucks,2010,1610612749,3785.0,0.435,0.336,0.769,774.0,1724.0,22,3749.0,0.427,0.348,0.747,771.0,1618.0,13
23,Bucks,2012,1610612749,4152.0,0.44,0.361,0.748,969.0,1840.0,21,3956.0,0.431,0.35,0.722,907.0,1765.0,17
24,Bucks,2013,1610612749,3870.0,0.437,0.353,0.738,880.0,1714.0,10,3959.0,0.443,0.36,0.752,880.0,1656.0,5
25,Bucks,2014,1610612749,4011.0,0.465,0.38,0.768,1006.0,1757.0,23,4012.0,0.456,0.348,0.737,926.0,1693.0,18
26,Bucks,2015,1610612749,4135.0,0.469,0.354,0.748,989.0,1698.0,23,3987.0,0.466,0.336,0.746,906.0,1719.0,10
27,Bucks,2016,1610612749,4348.0,0.481,0.377,0.782,1002.0,1629.0,23,4149.0,0.47,0.368,0.754,982.0,1683.0,19
28,Bucks,2017,1610612749,4378.0,0.484,0.351,0.785,966.0,1609.0,25,4460.0,0.474,0.362,0.783,961.0,1700.0,18
29,Bucks,2018,1610612749,4914.0,0.485,0.361,0.771,1068.0,2056.0,33,4772.0,0.469,0.345,0.773,1068.0,2022.0,27
30,Bulls,2003,1610612741,3645.0,0.406,0.346,0.718,933.0,1872.0,14,3710.0,0.426,0.347,0.727,860.0,1695.0,9
31,Bulls,2004,1610612741,3911.0,0.437,0.349,0.733,946.0,1858.0,27,3834.0,0.433,0.36,0.766,797.0,1734.0,20
32,Bulls,2005,1610612741,4020.0,0.453,0.377,0.736,934.0,1775.0,21,4000.0,0.444,0.375,0.736,870.0,1733.0,20
33,Bulls,2006,1610612741,4099.0,0.465,0.362,0.752,967.0,1839.0,31,4001.0,0.452,0.416,0.718,865.0,1742.0,18
