,TEAM_NAME,HOME_GAMES,HOME_ATTENDANCE,HOME_ATTENDANCE_AVG,AWAY_GAMES,AWAY_ATTENDANCE_AVG,TOTAL_GAMES,OVERALL_ATTENDANCE_AVG,Year
0,Pistons,41,872902,21290,41,17127,82,19209,2004
1,Mavericks,41,825594,20136,41,17452,82,18794,2004
2,Bulls,41,809177,19736,41,16517,82,18126,2004
3,76ers,41,788128,19222,41,17672,82,18447,2004
4,NY Knicks,41,785739,19164,41,17589,82,18376,2004
5,Jazz,41,785330,19154,41,16537,82,17845,2004
6,Lakers,41,777757,18969,41,19380,82,19175,2004
7,Raptors,41,750608,18307,41,16480,82,17394,2004
8,Cavaliers,41,749790,18287,41,18755,82,18521,2004
9,Spurs,41,739706,18041,41,17347,82,17694,2004
10,Timberwolves,41,723071,17635,41,17862,82,17749,2004
11,Nuggets,41,721476,17596,41,17184,82,17390,2004
12,Kings,41,709997,17317,41,17813,82,17565,2004
13,Bucks,41,690180,16833,41,16213,82,16523,2004
14,Trail Blazers,41,684038,16683,41,16282,82,16483,2004
15,Pacers,41,678326,16544,41,17710,82,17127,2004
16,Suns,41,670385,16350,41,16461,82,16406,2004
17,Warriors,41,665648,16235,41,15885,82,16060,2004
18,Clippers,41,665396,16229,41,16258,82,16243,2004
19,Celtics,41,664248,16201,41,16955,82,16578,2004
20,Wizards,41,645363,15740,41,16008,82,15874,2004
21,Rockets,41,640794,15629,41,17768,82,16698,2004
22,Thunder,41,625474,15255,41,16842,82,16049,2004
23,Heat,41,624809,15239,41,16524,82,15881,2004
24,Grizzlies,41,622723,15188,41,16695,82,15941,2004
25,Nets,41,613051,14952,41,17358,82,16155,2004
26,Magic,41,589144,14369,41,16793,82,15581,2004
27,Pelicans,41,587613,14332,41,16679,82,15505,2004
28,Hawks,41,565728,13798,41,16282,82,15040,2004
29,Pistons,41,905116,22076,41,17868,82,19972,2005
30,Bulls,41,828384,20204,41,17334,82,18769,2005
31,Mavericks,41,822533,20061,41,17259,82,18660,2005
32,Heat,41,815143,19881,41,18891,82,19386,2005
33,NY Knicks,41,800144,19515,41,17540,82,18528,2005
34,Cavaliers,41,784249,19128,41,18275,82,18701,2005
35,Lakers,41,770494,18792,41,18810,82,18801,2005
36,Jazz,41,769014,18756,41,16923,82,17839,2005
37,Spurs,41,750970,18316,41,17419,82,17868,2005
38,76ers,41,732686,17870,41,17933,82,17902,2005
39,Suns,41,726066,17708,41,17570,82,17639,2005
40,Nuggets,41,723949,17657,41,17506,82,17582,2005
41,Kings,41,709997,17317,41,17702,82,17509,2005
42,Wizards,41,705069,17196,41,16862,82,17029,2005
43,Timberwolves,41,704438,17181,41,17874,82,17527,2005
44,Raptors,41,703388,17155,41,16677,82,16916,2005
45,Pacers,41,696764,16994,41,16895,82,16944,2005
46,Clippers,41,696181,16980,41,16735,82,16857,2005
47,Grizzlies,41,691362,16862,41,16621,82,16742,2005
48,Trail Blazers,41,680374,16594,41,16658,82,16626,2005
49,Thunder,41,675490,16475,41,17029,82,16752,2005
50,Warriors,41,670368,16350,41,16708,82,16529,2005
51,Rockets,41,663444,16181,41,18183,82,17182,2005
52,Celtics,41,656081,16001,41,17216,82,16609,2005
53,Bucks,41,637009,15536,41,16651,82,16094,2005
54,Nets,41,618681,15089,41,16624,82,15857,2005
55,Magic,41,597942,14583,41,17510,82,16047,2005
56,Hornets,41,591701,14431,41,16717,82,15574,2005
57,Hawks,41,586390,14302,41,16730,82,15516,2005
58,Pelicans,41,583070,14221,41,16690,82,15456,2005
59,Pistons,41,905116,22076,41,18637,82,20356,2006
60,Bulls,41,868720,21188,41,17397,82,19292,2006
61,Mavericks,41,824693,20114,41,17591,82,18853,2006
62,Heat,41,818149,19954,41,18991,82,19473,2006
63,Cavaliers,41,792391,19326,41,18800,82,19063,2006
64,NY Knicks,41,776176,18931,41,17572,82,18251,2006
65,Lakers,41,774189,18882,41,18812,82,18847,2006
66,Spurs,41,770677,18797,41,18376,82,18586,2006
67,Jazz,41,751621,18332,41,17048,82,17690,2006
68,Warriors,41,749185,18272,41,16775,82,17524,2006
69,Pelicans,41,744920,18168,41,16659,82,17414,2006
70,Suns,41,730179,17809,41,17694,82,17751,2006
71,Clippers,41,712409,17375,41,16944,82,17160,2006
72,Kings,41,709997,17317,41,17101,82,17209,2006
73,Wizards,41,705062,17196,41,17291,82,17244,2006
74,Nuggets,41,702645,17137,41,17637,82,17387,2006
75,Raptors,41,699332,17056,41,16595,82,16826,2006
76,Celtics,41,692873,16899,41,17920,82,17409,2006
77,Nets,41,691543,16866,41,17710,82,17288,2006
78,Bucks,41,681337,16617,41,17119,82,16868,2006
79,76ers,41,677278,16518,41,18627,82,17573,2006
80,Hornets,41,671011,16366,41,17117,82,16741,2006
81,Thunder,41,664157,16198,41,17195,82,16697,2006
82,Pacers,41,663368,16179,41,17624,82,16902,2006
83,Timberwolves,41,662167,16150,41,17421,82,16785,2006
84,Grizzlies,41,647533,15793,41,17211,82,16502,2006
85,Magic,41,638005,15561,41,17084,82,16322,2006
86,Rockets,41,636110,15514,41,17554,82,16534,2006
87,Hawks,41,617942,15071,41,17067,82,16069,2006
88,Trail Blazers,41,617019,15049,41,17144,82,16097,2006
89,Bulls,41,912364,22252,41,18153,82,20202,2007
90,Pistons,41,905116,22076,41,18001,82,20038,2007
91,Cavaliers,41,837883,20436,41,18940,82,19688,2007
92,Mavericks,41,834411,20351,41,17821,82,19086,2007
93,Heat,41,808541,19720,41,18945,82,19332,2007
94,Jazz,41,802214,19566,41,17501,82,18533,2007
95,Lakers,41,778415,18985,41,18917,82,18951,2007
96,NY Knicks,41,771017,18805,41,17984,82,18394,2007
97,Spurs,41,764823,18654,41,17464,82,18059,2007
98,Suns,41,755302,18422,41,18541,82,18481,2007
99,Clippers,41,755261,18421,41,17406,82,17913,2007
100,Wizards,41,753283,18372,41,17270,82,17821,2007
101,Raptors,41,748603,18258,41,17347,82,17802,2007
102,Warriors,41,742267,18104,41,17012,82,17558,2007
103,Pelicans,41,731165,17833,41,16981,82,17407,2007
104,Kings,41,709997,17317,41,17282,82,17299,2007
105,Nuggets,41,706437,17230,41,18163,82,17696,2007
