PLAYER_NAME,BIRTHDATE,AGE,SCHOOL,COUNTRY,HEIGHT,WEIGHT,SEASON_EXP,FIRST_SEASON,LAST_SEASON,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER
Alaa Abdelnaby,1968-06-24,53,Duke,USA,82.0,240.0,4,1990,1994,1990,1,25
Zaid Abdul-Aziz,1946-04-07,76,Iowa State,USA,81.0,235.0,9,1968,1977,1968,1,5
Kareem Abdul-Jabbar,1947-04-16,75,UCLA,USA,86.0,225.0,19,1969,1988,1969,1,1
Mahmoud Abdul-Rauf,1969-03-09,53,Louisiana State,USA,73.0,162.0,8,1990,2000,1990,1,3
Tariq Abdul-Wahad,1974-11-03,47,San Jose State,France,78.0,235.0,6,1997,2003,1997,1,11
Shareef Abdur-Rahim,1976-12-11,45,California,USA,81.0,245.0,12,1996,2007,1996,1,3
Tom Abernethy,1954-05-06,68,Indiana,USA,79.0,220.0,4,1976,1980,1976,3,43
John Abramovic,1919-02-09,103,Salem,USA,75.0,195.0,1,1946,1947,0,0,0
Alex Abrines,1993-08-01,28,FC Barcelona,Spain,78.0,200.0,2,2016,2018,2013,2,32
Alex Acker,1983-01-21,39,Pepperdine,USA,77.0,185.0,2,2005,2008,2005,2,60
Mark Acres,1962-11-15,59,Oral Roberts,USA,83.0,220.0,5,1987,1992,1985,2,40
Charles Acton,1942-01-11,80,Hillsdale,USA,78.0,210.0,0,1967,1967,0,0,0
Quincy Acy,1990-10-06,31,Baylor,USA,79.0,240.0,6,2012,2018,2012,2,37
Alvan Adams,1954-07-19,67,Oklahoma,USA,81.0,210.0,12,1975,1987,1975,1,4
Don Adams,1947-11-27,74,Northwestern,USA,79.0,210.0,6,1970,1976,1970,8,120
Hassan Adams,1984-06-20,37,Arizona,USA,76.0,220.0,1,2006,2008,2006,2,54
Jaylen Adams,1996-05-04,26,St. Bonaventure,USA,72.0,225.0,2,2018,2020,0,0,0
Jordan Adams,1994-07-08,27,UCLA,USA,77.0,209.0,2,2014,2015,2014,1,22
Michael Adams,1963-01-19,59,Boston College,USA,70.0,165.0,10,1985,1995,1985,3,66
Steven Adams,1993-07-20,28,Pittsburgh,New Zealand,83.0,265.0,7,2013,2020,2013,1,12
Rafael Addison,1964-07-22,57,Syracuse,USA,80.0,241.0,5,1986,1996,1986,2,39
Bam Adebayo,1997-07-18,24,Kentucky,USA,81.0,255.0,3,2017,2020,2017,1,14
Deng Adel,1997-02-01,25,Louisville,South Sudan,79.0,200.0,1,2018,2018,0,0,0
Rick Adelman,1946-06-16,75,Loyola-Marymount,USA,74.0,175.0,6,1968,1974,1968,7,79
Jeff Adrien,1986-02-10,36,Connecticut,USA,78.07063365886896,211.14685155717208,5,2010,2014,0,0,0
Arron Afflalo,1985-10-15,36,UCLA,USA,77.0,210.0,11,2007,2017,2007,1,27
Maurice Ager,1984-02-09,38,Michigan State,USA,77.0,202.0,3,2006,2010,2006,1,28
Mark Aguirre,1959-12-10,62,DePaul,USA,78.0,232.0,12,1981,1993,1981,1,1
Blake Ahearn,1984-05-27,38,Missouri State,USA,74.0,190.0,3,2007,2011,0,0,0
Danny Ainge,1959-03-17,63,Brigham Young,USA,77.0,175.0,13,1981,1994,1981,2,31
Alexis Ajinca,1988-05-06,34,Hyeres-Toulon,France,86.0,248.0,7,2008,2017,2008,1,20
Henry Akin,1944-07-31,77,Morehead State,USA,82.0,225.0,1,1966,1967,1966,2,11
Josh Akognon,1986-02-10,36,California State-Fullerton,USA,71.0,185.0,1,2012,2012,0,0,0
DeVaughn Akoon-Purcell,1993-06-05,28,Illinois State,Trinidad and Tobago,78.0,200.0,1,2018,2018,0,0,0
Solomon Alabi,1988-03-21,34,Florida State,Nigeria,85.0,252.0,2,2010,2011,2010,2,50
Mark Alarie,1963-12-11,58,Duke,USA,80.0,217.0,4,1986,1990,1986,1,18
Gary Alcorn,1936-10-08,85,Fresno State,USA,81.0,225.0,1,1959,1960,1959,3,16
