,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,2pointer_MADE,2pointer_ATTEMPTS,3pointer_MADE,3pointer_ATTEMPTS,FreeThrow_MADE,FreeThrow_ATTEMPTS,OFFENSIVE_REBOUNDS,DEFENSIVE_REBOUNDS,REBOUNDS_TOTAL,ASSISTS,STEALS,BLOCKS,TURNOVERS,PERSONAL_FOULS,POINTS,SEASON,BIRTHDATE,AGE,SCHOOL,COUNTRY,HEIGHT,WEIGHT,SEASON_EXP,FIRST_SEASON,LAST_SEASON,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER
0,Aaron McKie,1610612755,PHI,Philadelphia,243,265.0,577.0,75.0,172.0,84.0,111.0,45.0,208.0,253.0,195.0,85.0,23.0,103.0,142.0,689.0,2003,1972-10-02,49.0,Temple,USA,77.0,209.0,13.0,1994.0,2006.0,1994.0,1.0,17.0
1,Aaron Williams,1610612751,NJN,New Jersey,1425,172.0,342.0,1.0,3.0,105.0,155.0,101.0,193.0,294.0,81.0,34.0,46.0,89.0,187.0,450.0,2003,1971-10-02,50.0,Xavier,USA,81.0,235.0,13.0,1993.0,2007.0,0.0,0.0,0.0
2,Adonal Foyle,1610612744,GSW,Golden State,1502,59.0,130.0,0.0,0.0,19.0,35.0,54.0,113.0,167.0,17.0,6.0,46.0,21.0,68.0,137.0,2003,1975-03-09,47.0,Colgate,St. Vincent & Grenadines,82.0,270.0,12.0,1997.0,2009.0,1997.0,1.0,8.0
3,Adrian Griffin,1610612745,HOU,Houston,1559,5.0,18.0,1.0,2.0,0.0,4.0,1.0,18.0,19.0,10.0,7.0,2.0,3.0,17.0,11.0,2003,1974-07-04,47.0,Seton Hall,USA,77.0,230.0,9.0,1999.0,2007.0,0.0,0.0,0.0
4,Al Harrington,1610612754,IND,Indiana,1733,421.0,909.0,21.0,77.0,185.0,252.0,163.0,345.0,508.0,131.0,80.0,22.0,163.0,250.0,1048.0,2003,1980-02-17,42.0,St. Patrick HS (NJ),USA,81.0,245.0,15.0,1998.0,2013.0,1998.0,1.0,25.0
5,Alan Henderson,1610612737,ATL,Atlanta,673,10.0,21.0,0.0,0.0,4.0,6.0,11.0,10.0,21.0,2.0,1.0,2.0,3.0,1.0,24.0,2003,1972-12-02,49.0,Indiana,USA,81.0,240.0,12.0,1995.0,2006.0,1995.0,1.0,16.0
6,Alex Garcia,1610612759,SAS,San Antonio,2682,1.0,7.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,2003,1980-03-04,42.0,Ribeirao Preto,Brazil,75.0,195.0,1.0,2003.0,2004.0,0.0,0.0,0.0
7,Allan Houston,1610612752,NYK,New York,275,340.0,781.0,87.0,202.0,157.0,172.0,20.0,101.0,121.0,99.0,38.0,2.0,102.0,105.0,924.0,2003,1971-04-20,51.0,Tennessee,USA,78.0,205.0,12.0,1993.0,2004.0,1993.0,1.0,11.0
8,Allen Iverson,1610612755,PHI,Philadelphia,947,435.0,1125.0,57.0,199.0,339.0,455.0,34.0,144.0,178.0,324.0,115.0,5.0,209.0,87.0,1266.0,2003,1975-06-07,46.0,Georgetown,USA,72.0,165.0,14.0,1996.0,2009.0,1996.0,1.0,1.0
9,Alonzo Mourning,1610612751,NJN,New Jersey,297,33.0,71.0,0.0,0.0,30.0,34.0,8.0,19.0,27.0,8.0,2.0,6.0,10.0,32.0,96.0,2003,1970-02-08,52.0,Georgetown,USA,82.0,261.0,15.0,1992.0,2007.0,1992.0,1.0,2.0
