,PLAYER_NAME,BIRTHDATE,AGE,SCHOOL,COUNTRY,HEIGHT,WEIGHT,SEASON_EXP,FIRST_SEASON,LAST_SEASON,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,2pointer_MADE,2pointer_ATTEMPTS,3pointer_MADE,3pointer_ATTEMPTS,FreeThrow_MADE,FreeThrow_ATTEMPTS,OFFENSIVE_REBOUNDS,DEFENSIVE_REBOUNDS,REBOUNDS_TOTAL,ASSISTS,STEALS,BLOCKS,TURNOVERS,PERSONAL_FOULS,POINTS,SEASON
0,Aaron McKie,1972-10-02,49,Temple,USA,77.0,209.0,13,1994,2006,1994,1,17,1610612755,PHI,Philadelphia,243,265.0,577.0,75.0,172.0,84.0,111.0,45.0,208.0,253.0,195.0,85.0,23.0,103.0,142.0,689.0,2003
1,Aaron Williams,1971-10-02,50,Xavier,USA,81.0,235.0,13,1993,2007,0,0,0,1610612751,NJN,New Jersey,1425,172.0,342.0,1.0,3.0,105.0,155.0,101.0,193.0,294.0,81.0,34.0,46.0,89.0,187.0,450.0,2003
2,Adonal Foyle,1975-03-09,47,Colgate,St. Vincent & Grenadines,82.0,270.0,12,1997,2009,1997,1,8,1610612744,GSW,Golden State,1502,59.0,130.0,0.0,0.0,19.0,35.0,54.0,113.0,167.0,17.0,6.0,46.0,21.0,68.0,137.0,2003
3,Adrian Griffin,1974-07-04,47,Seton Hall,USA,77.0,230.0,9,1999,2007,0,0,0,1610612745,HOU,Houston,1559,5.0,18.0,1.0,2.0,0.0,4.0,1.0,18.0,19.0,10.0,7.0,2.0,3.0,17.0,11.0,2003
4,Al Harrington,1980-02-17,42,St. Patrick HS (NJ),USA,81.0,245.0,15,1998,2013,1998,1,25,1610612754,IND,Indiana,1733,421.0,909.0,21.0,77.0,185.0,252.0,163.0,345.0,508.0,131.0,80.0,22.0,163.0,250.0,1048.0,2003
5,Alan Henderson,1972-12-02,49,Indiana,USA,81.0,240.0,12,1995,2006,1995,1,16,1610612737,ATL,Atlanta,673,10.0,21.0,0.0,0.0,4.0,6.0,11.0,10.0,21.0,2.0,1.0,2.0,3.0,1.0,24.0,2003
6,Alex Garcia,1980-03-04,42,Ribeirao Preto,Brazil,75.0,195.0,1,2003,2004,0,0,0,1610612759,SAS,San Antonio,2682,1.0,7.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,2003
7,Allan Houston,1971-04-20,51,Tennessee,USA,78.0,205.0,12,1993,2004,1993,1,11,1610612752,NYK,New York,275,340.0,781.0,87.0,202.0,157.0,172.0,20.0,101.0,121.0,99.0,38.0,2.0,102.0,105.0,924.0,2003
8,Allen Iverson,1975-06-07,46,Georgetown,USA,72.0,165.0,14,1996,2009,1996,1,1,1610612755,PHI,Philadelphia,947,435.0,1125.0,57.0,199.0,339.0,455.0,34.0,144.0,178.0,324.0,115.0,5.0,209.0,87.0,1266.0,2003
9,Alonzo Mourning,1970-02-08,52,Georgetown,USA,82.0,261.0,15,1992,2007,1992,1,2,1610612751,NJN,New Jersey,297,33.0,71.0,0.0,0.0,30.0,34.0,8.0,19.0,27.0,8.0,2.0,6.0,10.0,32.0,96.0,2003
10,Alton Ford,1981-05-29,41,Houston,USA,81.0,280.0,3,2001,2003,2001,2,50,1610612745,HOU,Houston,2228,6.0,11.0,0.0,0.0,3.0,6.0,3.0,8.0,11.0,3.0,0.0,1.0,3.0,9.0,15.0,2003
11,Alvin Williams,1974-08-06,47,Villanova,USA,77.0,195.0,8,1997,2006,1997,2,47,1610612761,TOR,Toronto,1541,201.0,496.0,26.0,89.0,66.0,85.0,18.0,132.0,150.0,224.0,55.0,10.0,78.0,114.0,494.0,2003
12,Amal McCaskill,1973-10-28,48,Marquette,USA,83.0,235.0,4,1996,2003,1996,2,49,1610612755,PHI,Philadelphia,1043,47.0,117.0,0.0,1.0,19.0,27.0,48.0,85.0,133.0,20.0,12.0,20.0,25.0,89.0,113.0,2003
13,Amar'e Stoudemire,1982-11-16,39,Cypress Creek HS (FL),USA,82.0,245.0,14,2002,2015,2002,1,9,1610612756,PHX,Phoenix,2405,411.0,865.0,1.0,5.0,310.0,435.0,157.0,339.0,496.0,78.0,64.0,89.0,177.0,188.0,1133.0,2003
14,Andre Miller,1976-03-19,46,Utah,USA,75.0,200.0,17,1999,2015,1999,1,8,1610612743,DEN,Denver,1889,430.0,941.0,12.0,65.0,342.0,411.0,127.0,239.0,366.0,501.0,142.0,25.0,215.0,194.0,1214.0,2003
15,Andrei Kirilenko,1981-02-18,41,CSKA Moscow,Russia,81.0,235.0,12,2001,2014,1999,1,24,1610612762,UTA,Utah,1905,412.0,931.0,68.0,201.0,392.0,496.0,226.0,403.0,629.0,244.0,148.0,215.0,215.0,174.0,1284.0,2003
16,Andrew DeClercq,1973-02-01,49,Florida,USA,82.0,255.0,10,1995,2004,1995,2,34,1610612753,ORL,Orlando,692,93.0,195.0,0.0,0.0,44.0,54.0,131.0,186.0,317.0,44.0,47.0,32.0,54.0,217.0,230.0,2003
17,Anfernee Hardaway,1971-07-18,50,Memphis,USA,79.0,215.0,13,1993,2007,1993,1,3,1610612756,PHX,Phoenix,358,279.0,679.0,30.0,79.0,111.0,138.0,69.0,218.0,287.0,176.0,70.0,20.0,107.0,146.0,699.0,2003
18,Ansu Sesay,1976-07-29,45,Mississippi,USA,81.0,225.0,3,2001,2004,1998,2,30,1610612760,SEA,Seattle,1738,81.0,178.0,6.0,21.0,32.0,46.0,43.0,49.0,92.0,19.0,19.0,20.0,23.0,66.0,200.0,2003
19,Antawn Jamison,1976-06-12,45,North Carolina,USA,81.0,235.0,15,1998,2013,1998,1,4,1610612742,DAL,Dallas,1712,488.0,913.0,16.0,40.0,220.0,294.0,233.0,287.0,520.0,70.0,83.0,30.0,81.0,174.0,1212.0,2003
20,Anthony Carter,1975-06-16,46,Hawaii,USA,73.0,190.0,13,1999,2011,0,0,0,1610612759,SAS,San Antonio,1853,11.0,37.0,0.0,3.0,0.0,0.0,2.0,9.0,11.0,12.0,4.0,0.0,12.0,9.0,22.0,2003
21,Anthony Goldwire,1971-09-06,50,Houston,USA,74.0,182.0,7,1995,2005,1994,2,52,1610612750,MIN,Minnesota,924,7.0,22.0,2.0,8.0,1.0,1.0,1.0,6.0,7.0,11.0,5.0,0.0,3.0,5.0,17.0,2003
22,Anthony Johnson,1974-10-02,47,College of Charleston,USA,75.0,195.0,13,1997,2009,1997,2,39,1610612754,IND,Indiana,1533,167.0,411.0,41.0,122.0,75.0,94.0,28.0,102.0,130.0,202.0,64.0,8.0,75.0,138.0,450.0,2003
23,Anthony Peeler,1969-11-25,52,Missouri,USA,76.0,208.0,13,1992,2004,1992,1,15,1610612758,SAC,Sacramento,324,156.0,348.0,68.0,141.0,51.0,61.0,31.0,122.0,153.0,120.0,56.0,10.0,77.0,103.0,431.0,2003
24,Antoine Walker,1976-08-12,45,Kentucky,USA,81.0,245.0,12,1996,2007,1996,1,6,1610612742,DAL,Dallas,952,483.0,1129.0,82.0,305.0,103.0,186.0,198.0,486.0,684.0,369.0,65.0,65.0,202.0,212.0,1151.0,2003
25,Antonio Daniels,1975-03-19,47,Bowling Green,USA,76.0,205.0,13,1997,2010,1997,1,4,1610612760,SEA,Seattle,1498,187.0,398.0,42.0,116.0,155.0,184.0,23.0,119.0,142.0,298.0,45.0,6.0,61.0,64.0,571.0,2003
26,Antonio Davis,1968-10-31,53,Texas-El Paso,USA,81.0,245.0,12,1993,2005,1990,2,45,1610612761,TOR,Toronto,213,266.0,660.0,0.0,0.0,176.0,230.0,207.0,464.0,671.0,137.0,37.0,65.0,114.0,206.0,708.0,2003
27,Antonio McDyess,1974-09-07,47,Alabama,USA,81.0,245.0,15,1995,2010,1995,1,2,1610612752,NYK,New York,686,126.0,268.0,0.0,0.0,38.0,69.0,70.0,187.0,257.0,36.0,37.0,24.0,57.0,117.0,290.0,2003
28,Austin Croshere,1975-05-01,47,Providence,USA,82.0,240.0,11,1997,2008,1997,1,12,1610612754,IND,Indiana,1506,119.0,307.0,56.0,144.0,93.0,104.0,60.0,183.0,243.0,52.0,24.0,14.0,55.0,101.0,387.0,2003
29,Avery Johnson,1965-03-25,57,Southern,USA,71.0,185.0,16,1988,2003,0,0,0,1610612744,GSW,Golden State,422,80.0,199.0,0.0,3.0,52.0,78.0,3.0,30.0,33.0,111.0,26.0,3.0,51.0,34.0,212.0,2003
30,Baron Davis,1979-04-13,43,UCLA,USA,75.0,212.0,13,1999,2011,1999,1,3,1610612740,NOH,New Orleans,1884,554.0,1402.0,187.0,582.0,237.0,352.0,66.0,221.0,287.0,501.0,158.0,27.0,215.0,178.0,1532.0,2003
31,Ben Handlogten,1973-11-16,48,Western Michigan,USA,82.0,240.0,2,2003,2004,0,0,0,1610612762,UTA,Utah,1052,25.0,47.0,0.0,0.0,18.0,27.0,22.0,33.0,55.0,6.0,3.0,4.0,10.0,32.0,68.0,2003
32,Ben Wallace,1974-09-10,47,Virginia Union,USA,81.0,240.0,16,1996,2011,0,0,0,1610612765,DET,Detroit,1112,315.0,748.0,1.0,8.0,142.0,290.0,324.0,682.0,1006.0,138.0,143.0,246.0,123.0,162.0,773.0,2003
33,Bimbo Coles,1968-04-22,54,Virginia Tech,USA,74.0,182.0,14,1990,2003,1990,2,40,1610612748,MIA,Miami,902,12.0,34.0,0.0,0.0,4.0,6.0,2.0,8.0,10.0,15.0,3.0,0.0,9.0,27.0,28.0,2003
34,Bo Outlaw,1971-04-13,51,Houston,USA,80.0,220.0,14,1993,2007,0,0,0,1610612763,MEM,Memphis,448,159.0,312.0,0.0,4.0,61.0,116.0,125.0,217.0,342.0,90.0,73.0,70.0,69.0,170.0,379.0,2003
35,Bob Sura,1973-03-25,49,Florida State,USA,77.0,200.0,10,1995,2006,1995,1,17,1610612765,DET,Detroit,682,202.0,485.0,21.0,79.0,171.0,226.0,100.0,226.0,326.0,233.0,62.0,14.0,105.0,158.0,596.0,2003
36,Bobby Jackson,1973-03-13,49,Minnesota,USA,73.0,185.0,12,1997,2008,1997,1,23,1610612758,SAC,Sacramento,1517,263.0,592.0,81.0,219.0,82.0,109.0,55.0,119.0,174.0,105.0,49.0,8.0,63.0,106.0,689.0,2003
37,Bobby Simmons,1980-06-02,41,DePaul,USA,78.0,235.0,10,2001,2011,2001,2,41,1610612746,LAC,Los Angeles,2250,147.0,373.0,2.0,12.0,141.0,169.0,115.0,147.0,262.0,96.0,51.0,17.0,73.0,169.0,437.0,2003
38,Bonzi Wells,1976-09-28,45,Ball State,USA,77.0,210.0,10,1998,2007,1998,1,11,1610612757,POR,Portland,1719,363.0,850.0,22.0,69.0,138.0,183.0,78.0,182.0,260.0,139.0,91.0,19.0,161.0,197.0,886.0,2003
39,Boris Diaw,1982-04-16,40,Pau Orthez,France,80.0,250.0,14,2003,2016,2003,1,21,1610612737,ATL,Atlanta,2564,140.0,313.0,6.0,26.0,56.0,93.0,111.0,231.0,342.0,182.0,59.0,37.0,126.0,191.0,342.0,2003
40,Bostjan Nachbar,1980-07-03,41,Benetton Treviso,Slovenia,81.0,221.0,6,2002,2007,2002,1,15,1610612745,HOU,Houston,2411,47.0,132.0,23.0,63.0,21.0,29.0,8.0,62.0,70.0,30.0,14.0,14.0,23.0,72.0,138.0,2003
41,Brad Miller,1976-04-12,46,Purdue,USA,84.0,261.0,14,1998,2011,0,0,0,1610612758,SAC,Sacramento,1802,373.0,731.0,12.0,38.0,256.0,329.0,191.0,552.0,743.0,312.0,68.0,86.0,144.0,247.0,1014.0,2003
